word,up_count,down_count,total,up1,down1,p_score,polarity
유동성/NNG;감소/NNG,17.0,3.0,20.0,18.0,4.0,2.9377809936504584,Hawikish
알릴/VV,5.0,12.0,17.0,6.0,13.0,0.3013108711436367,Dovish
els/NNG,42.0,45.0,87.0,43.0,46.0,0.6102636846713512,Dovish
피로/NNG,25.0,24.0,49.0,26.0,25.0,0.6789538296436615,Dovish
여겨진다/VV,16.0,7.0,23.0,17.0,8.0,1.3872854692238274,Hawikish
던지/VV,21.0,9.0,30.0,22.0,10.0,1.4362484857846685,Hawikish
환급/NNG,13.0,6.0,19.0,14.0,7.0,1.305680441622426,Hawikish
만성/NNG,22.0,20.0,42.0,23.0,21.0,0.7150154799360904,Dovish
결론/NNG,141.0,138.0,279.0,142.0,139.0,0.6669302975193686,Dovish
보유현금/NNG,47.0,19.0,66.0,48.0,20.0,1.5668165299469108,Hawikish
인플레이션/NNG;압력/NNG;완화/NNG,40.0,10.0,50.0,41.0,11.0,2.4333135502963392,Hawikish
종식/NNG,10.0,22.0,32.0,11.0,23.0,0.3122279316923192,Dovish
유동성/NNG;악화/NNG,13.0,4.0,17.0,14.0,5.0,1.827952618271396,Hawikish
예금자보호/NNG,20.0,8.0,28.0,21.0,9.0,1.5232938485594971,Hawikish
힌트/NNG,23.0,28.0,51.0,24.0,29.0,0.5402815620506589,Dovish
디플레이션/NNG;압력/NNG,7.0,9.0,16.0,8.0,10.0,0.5222721766489703,Dovish
타당/NNG,44.0,47.0,91.0,45.0,48.0,0.6120377070105121,Dovish
방점/NNG,36.0,11.0,47.0,37.0,12.0,2.012924014167907,Hawikish
카드사태/NNG,14.0,15.0,29.0,15.0,16.0,0.6120377070105122,Dovish
물가/NNG;상방/NNG;압력/NNG,57.0,21.0,78.0,58.0,22.0,1.7211242185022886,Hawikish
전망/NNG;안정/NNG;부정적/VAX,11.0,4.0,15.0,12.0,5.0,1.5668165299469108,Hawikish
중장기영역/NNG,16.0,17.0,33.0,17.0,18.0,0.6165713196550344,Dovish
전조/NNG,13.0,6.0,19.0,14.0,7.0,1.305680441622426,Hawikish
fcf/NNG,36.0,17.0,53.0,37.0,18.0,1.3419493427786044,Hawikish
거래비중/NNG,7.0,11.0,18.0,8.0,12.0,0.43522681387414197,Dovish
예비/NNG,84.0,32.0,116.0,85.0,33.0,1.6815581445137304,Hawikish
신용스프레드/NNG;강세/NNG,27.0,30.0,57.0,28.0,31.0,0.5896621349262569,Dovish
자연스레/MAG,18.0,19.0,37.0,19.0,20.0,0.6201982097706522,Dovish
피해자/NNG,12.0,14.0,26.0,13.0,15.0,0.5657948580363846,Dovish
금리/NNG;고점/NNG,52.0,22.0,74.0,53.0,23.0,1.5043709436084471,Hawikish
보여줌/VV,30.0,28.0,58.0,31.0,29.0,0.6978636843154344,Dovish
옮기/VV,65.0,30.0,95.0,66.0,31.0,1.3899178894690338,Hawikish
시산/NNG,6.0,9.0,15.0,7.0,10.0,0.456988154567849,Dovish
편리/NNG,11.0,16.0,27.0,12.0,17.0,0.46082839116085617,Dovish
소액/NNG,20.0,18.0,38.0,21.0,19.0,0.7215602440544985,Dovish
회동/NNG,14.0,18.0,32.0,15.0,19.0,0.5154001743246418,Dovish
버텨/VV,17.0,7.0,24.0,18.0,8.0,1.4688904968252292,Hawikish
만남/NNG,10.0,12.0,22.0,11.0,13.0,0.552403263763334,Dovish
인하/NNG;축소/NNG,13.0,6.0,19.0,14.0,7.0,1.305680441622426,Hawikish
비스/NNG,18.0,7.0,25.0,19.0,8.0,1.5504955244266307,Hawikish
닮/VV,13.0,3.0,16.0,14.0,4.0,2.2849407728392457,Hawikish
긍긍/MAG,3.0,16.0,19.0,4.0,17.0,0.15360946372028542,Dovish
물가/NNG;고점/NNG,40.0,11.0,51.0,41.0,12.0,2.2305374211049775,Hawikish
본연/NNG,11.0,15.0,26.0,12.0,16.0,0.48963016560840966,Dovish
미진/NNG,20.0,18.0,38.0,21.0,19.0,0.7215602440544985,Dovish
아베노믹스/NNG,12.0,19.0,31.0,13.0,20.0,0.4243461435272884,Dovish
차병/NNG,43.0,14.0,57.0,44.0,15.0,1.9149979810462248,Hawikish
간다면/VV,11.0,16.0,27.0,12.0,17.0,0.46082839116085617,Dovish
적립금/NNG,25.0,5.0,30.0,26.0,6.0,2.828974290181923,Hawikish
펼쳐질/VV,10.0,11.0,21.0,11.0,12.0,0.5984368690769452,Dovish
대환/NNG,22.0,10.0,32.0,23.0,11.0,1.3650295526052634,Hawikish
