,date,h_count,d_count,s_score,base_rate
0,2005-06-09,62.0,155.0,-0.42857142857142855,3.25
1,2005-07-07,87.0,181.0,-0.35074626865671643,3.25
2,2005-08-11,86.0,173.0,-0.3359073359073359,3.25
3,2005-09-08,94.0,194.0,-0.3472222222222222,3.25
4,2005-10-11,88.0,146.0,-0.24786324786324787,3.5
5,2005-11-10,89.0,146.0,-0.2425531914893617,3.5
6,2005-12-08,74.0,176.0,-0.408,3.75
7,2006-01-12,59.0,132.0,-0.38219895287958117,3.75
8,2006-02-09,51.0,154.0,-0.5024390243902439,4.0
9,2006-03-09,48.0,138.0,-0.4838709677419355,4.0
10,2006-04-07,47.0,124.0,-0.4502923976608187,4.0
11,2006-05-11,55.0,104.0,-0.3081761006289308,4.0
12,2006-06-08,69.0,92.0,-0.14285714285714285,4.25
13,2006-07-07,66.0,92.0,-0.16455696202531644,4.25
14,2006-08-10,59.0,112.0,-0.30994152046783624,4.5
15,2006-09-07,72.0,107.0,-0.19553072625698323,4.5
16,2006-10-12,114.0,188.0,-0.24503311258278146,4.5
17,2006-11-09,65.0,173.0,-0.453781512605042,4.5
18,2006-12-07,49.0,178.0,-0.5682819383259912,4.5
19,2007-01-11,44.0,146.0,-0.5368421052631579,4.5
20,2007-02-08,41.0,129.0,-0.5176470588235295,4.5
21,2007-03-08,54.0,165.0,-0.5068493150684932,4.5
22,2007-04-12,53.0,153.0,-0.4854368932038835,4.5
23,2007-05-10,49.0,142.0,-0.4869109947643979,4.5
24,2007-06-08,43.0,141.0,-0.532608695652174,4.5
25,2007-07-12,62.0,133.0,-0.3641025641025641,4.75
26,2007-08-09,62.0,149.0,-0.41232227488151657,5.0
27,2007-09-07,48.0,171.0,-0.5616438356164384,5.0
28,2007-10-11,53.0,137.0,-0.4421052631578947,5.0
29,2007-11-08,87.0,140.0,-0.23348017621145375,5.0
30,2007-12-07,60.0,114.0,-0.3103448275862069,5.0
31,2008-01-10,53.0,140.0,-0.45077720207253885,5.0
32,2008-02-13,57.0,126.0,-0.3770491803278688,5.0
33,2008-03-07,68.0,134.0,-0.32673267326732675,5.0
34,2008-04-10,68.0,116.0,-0.2608695652173913,5.0
35,2008-05-08,85.0,124.0,-0.18660287081339713,5.0
36,2008-06-12,99.0,137.0,-0.16101694915254236,5.0
37,2008-07-10,71.0,126.0,-0.27918781725888325,5.0
38,2008-08-07,90.0,127.0,-0.17050691244239632,5.25
39,2008-09-11,59.0,98.0,-0.2484076433121019,5.25
40,2008-10-09,53.0,138.0,-0.44502617801047123,5.0
41,2008-11-07,41.0,145.0,-0.5591397849462365,4.0
42,2008-12-11,30.0,156.0,-0.6774193548387096,3.0
43,2009-01-09,32.0,155.0,-0.6577540106951871,2.5
44,2009-02-12,46.0,142.0,-0.5106382978723404,2.0
45,2009-03-12,41.0,147.0,-0.5638297872340425,2.0
46,2009-04-09,36.0,148.0,-0.6086956521739131,2.0
47,2009-05-12,40.0,143.0,-0.5628415300546448,2.0
48,2009-06-11,44.0,144.0,-0.5319148936170213,2.0
49,2009-07-09,37.0,130.0,-0.5568862275449101,2.0
50,2009-08-11,51.0,183.0,-0.5641025641025641,2.0
51,2009-09-10,57.0,138.0,-0.4153846153846154,2.0
52,2009-10-09,46.0,137.0,-0.4972677595628415,2.0
53,2009-11-12,43.0,132.0,-0.5085714285714286,2.0
54,2009-12-10,55.0,164.0,-0.4977168949771689,2.0
55,2010-01-08,67.0,192.0,-0.4826254826254826,2.0
56,2010-02-11,62.0,143.0,-0.3951219512195122,2.0
57,2010-03-11,40.0,175.0,-0.627906976744186,2.0
58,2010-04-09,35.0,130.0,-0.5757575757575758,2.0
59,2010-05-12,60.0,137.0,-0.39086294416243655,2.0
60,2010-06-10,45.0,138.0,-0.5081967213114754,2.0
61,2010-07-09,54.0,168.0,-0.5135135135135135,2.25
62,2010-08-12,60.0,153.0,-0.43661971830985913,2.25
63,2010-09-09,50.0,198.0,-0.5967741935483871,2.25
64,2010-10-14,68.0,166.0,-0.4188034188034188,2.25
65,2010-11-16,74.0,150.0,-0.3392857142857143,2.5
66,2010-12-09,68.0,156.0,-0.39285714285714285,2.5
67,2011-01-13,105.0,191.0,-0.2905405405405405,2.75
68,2011-02-11,85.0,161.0,-0.3089430894308943,2.75
69,2011-03-10,118.0,152.0,-0.1259259259259259,3.0
70,2011-04-12,95.0,181.0,-0.3115942028985507,3.0
71,2011-05-13,93.0,180.0,-0.31868131868131866,3.0
72,2011-06-10,88.0,163.0,-0.29880478087649404,3.25
73,2011-07-14,80.0,224.0,-0.47368421052631576,3.25
74,2011-08-11,82.0,212.0,-0.4421768707482993,3.25
